,BA,Accuracy,Recall,f1_score,roc_auc,pr_auc,cv,data,train_time,prediction_time,alpha,sigma_mul,T,t,cutoff
0,0.764102564102564,0.8529411764705882,0.8615384615384616,0.9180327868852458,0.8512820512820511,0.133994708994709,0,ArrowHead,14.912517547607422,5.745887756347656e-05,0.05,1.5,0.5,10,0.06
0,0.7564102564102564,0.8382352941176471,0.8461538461538461,0.9090909090909091,0.9128205128205128,0.5196078431372548,1,ArrowHead,12.442298650741577,4.267692565917969e-05,0.05,1.5,0.5,10,0.06
0,0.6128205128205129,0.8676470588235294,0.8923076923076924,0.928,0.8717948717948718,0.13744588744588745,2,ArrowHead,8.605724334716797,4.315376281738281e-05,0.05,1.5,0.5,10,0.06
0,0.764102564102564,0.8529411764705882,0.8615384615384616,0.9180327868852458,0.8461538461538461,0.22081280788177338,3,ArrowHead,8.323895931243896,4.2438507080078125e-05,0.05,1.5,0.5,10,0.06
0,0.5897435897435898,0.8235294117647058,0.8461538461538461,0.9016393442622951,0.8205128205128205,0.104265873015873,4,ArrowHead,7.745383262634277,4.7206878662109375e-05,0.05,1.5,0.5,10,0.06
0,0.7487179487179487,0.8235294117647058,0.8307692307692308,0.9,0.9076923076923076,0.20158730158730157,5,ArrowHead,15.368582725524902,4.9114227294921875e-05,0.05,1.5,0.5,10,0.06
0,0.6128205128205129,0.8676470588235294,0.8923076923076924,0.928,0.7897435897435898,0.09018031189083821,6,ArrowHead,11.955135583877563,5.1021575927734375e-05,0.05,1.5,0.5,10,0.06
0,0.7717948717948717,0.8676470588235294,0.8769230769230769,0.9268292682926829,0.8102564102564103,0.14344118023553504,7,ArrowHead,8.789541244506836,3.933906555175781e-05,0.05,1.5,0.5,10,0.06
0,0.6128205128205129,0.8676470588235294,0.8923076923076924,0.928,0.8974358974358974,0.16443602693602694,8,ArrowHead,8.194770574569702,4.57763671875e-05,0.05,1.5,0.5,10,0.06
0,0.558974358974359,0.7647058823529411,0.7846153846153846,0.864406779661017,0.5538461538461539,0.05422100480062015,9,ArrowHead,8.599530458450317,4.267692565917969e-05,0.05,1.5,0.5,10,0.06
